,Centro_de_Alto_Rendimiento_CO_pmm
1730,0.42616
1731,0.716
1732,0.46484
1733,0.29928
1734,1.30463
1735,1.91847
1736,1.86486
1737,0.88235
1738,0.19791
1739,0.21653
1740,0.19409
1741,0.34908
1742,0.53958
1743,0.61182
1744,0.61229
1745,0.45969
1746,0.388
1747,0.43936
1748,0.35735
1749,0.73264
1750,1.08891
1751,1.59632
1752,1.45439
1753,1.37104
1754,1.05642
1755,0.545
1756,0.51134
1757,0.73296
1758,1.72694
1759,1.85022
1760,1.31239
1761,0.82634
1762,0.95808
1763,0.61926
1764,0.90048
1765,0.72983
1766,0.56491
1767,0.99261
1768,1.04815
1769,0.51465
1770,0.58319
1771,0.73697
1772,0.28893
1773,0.29368
1774,0.81029
1775,0.72275
1776,0.70142
1777,0.85627
1778,0.35832
1779,0.13613
1780,0.39281
1781,0.426
1782,1.497
1783,0.65316
1784,0.22432
1785,0.26313
1786,0.30433
1787,0.3154
1788,0.35139
1789,0.4032
1790,0.37552
1791,0.29764
1792,0.33418
1793,0.64759
1794,1.2985
1795,1.52377
1796,1.37096
1797,1.58612
1798,1.8099
1799,2.51675
1800,3.56738
1801,2.86416
1802,2.21593
1803,1.51943
1804,1.15607
1805,1.01536
1806,1.41821
1807,2.0729
1808,1.28526
1809,0.50789
1810,0.19783
1811,0.37159
1812,0.50462
1813,0.84886
1814,0.92132
1815,0.82424
1816,0.76862
1817,0.59658
1818,0.82253
1819,0.53217
1820,0.49163
1821,0.8748
1822,0.84601
1823,0.56462
1824,0.39743
1825,0.51683
1826,0.47571
1827,0.38507
1828,0.43371
1829,0.41376
1830,0.5675
1831,0.81767
1832,0.78787
1833,0.27393
1834,0.41164
1835,0.46691
1836,0.63235
1837,0.77886
1838,0.78208
1839,0.48163
1840,0.26877
1841,0.4036
1842,0.63997
1843,0.98421
1844,0.65899
1845,0.6097
1846,0.74603
1847,0.71276
1848,0.35456
